duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
156877645.96939087,156877645.96939087,0.0,149.9652862548828,0.0,20071826.934814453,0.0,14261604.179035533,0.0,0.07649273372154868,9.000645001235561,149.9652862548828,20071826.934814453,14261604.179035533,8456711.858799929,149.9652862548828,384.0923309326172,618.2193756103516,234.12704467773438,2045178.8902282715,17430764.198303223,20071826.934814453,5671750.231615099
387304090.0230408,387304090.0230408,0.0,0.0,0.0,4282824.0394592285,0.0,750589.321750079,0.0,1.334868423334346,423.15329019698765,0.0,4282824.0394592285,750589.321750079,750452.0730805655,0.0,345147.6528784027,934507.8468322754,272953.28780308453,1007865.9057617188,1677682.0550298993,4282824.0394592285,667241.3480165787
386153786.8976593,386153786.8976593,0.0,4940.986633300781,0.0,33202700.85334778,0.0,5148717.158635457,0.0,0.19681277920535312,44.53924986253774,4940.986633300781,33202700.85334778,5148717.158635457,8003749.758363438,4940.986633300781,336959.2851208102,935105.8006286621,233519.26362337425,1017060.0414276123,8538819.296793504,33202700.85334778,9019403.322331814
378779624.93896484,378779624.93896484,0.0,682.1155548095703,0.0,28469843.14918518,0.0,2104331.2496609157,0.0,0.4778504124374844,92.10104689665238,682.1155548095703,28469843.14918518,2104331.2496609157,2886901.333273921,682.1155548095703,323321.2947845459,999557.0182800293,193633.12259224447,1006520.0328826904,3376481.2174297515,28469843.14918518,3221232.7206826853
7069260.835647583,7069260.835647583,0.0,97418.06983947754,0.0,3076404.809951782,0.0,1413852.1671295166,0.0,0.8487450299958224,151.9253603692522,97418.06983947754,3076404.809951782,1413852.1671295166,964699.2835374884,97418.06983947754,97418.06983947754,97418.06983947754,0.0,1020140.8863067627,1742960.6914520264,3076404.809951782,788507.3117374874
384107325.0770569,384107325.0770569,0.0,0.0,0.0,58769183.15887451,0.0,7386679.32840494,0.0,0.13798226833963012,19.903291348235324,0.0,58769183.15887451,7386679.32840494,13662266.542705312,0.0,163191.80727005005,926310.0624084473,220809.23518222893,1232081.8901062012,11901359.029114246,58769183.15887451,15820680.872908825
384110658.88404846,384110658.88404846,0.0,0.0,0.0,7992332.935333252,0.0,887091.590956232,0.0,1.129882730307184,359.22460574480607,0.0,7992332.935333252,887091.590956232,878875.7415097957,0.0,389391.0269085452,999883.8901519775,301230.41805715294,1007683.0387115479,1779741.6348611156,7992332.935333252,868307.0492972201
359558526.99279785,359558526.99279785,359475005.86509705,0.0,0.0,15890093.088150024,15898943.901062012,442806.0677251205,122270.41015819628,10.440581207729762,11995.243266992224,0.0,15849314.92805481,95805.62936125709,648586.703061715,0.0,33883.65298055096,996637.8211975098,131300.37784745469,1002997.1599578857,2902935.2252866016,15849314.92805481,3264270.4547935887
4003774.881362915,4003774.881362915,0.0,4003774.881362915,0.0,4003774.881362915,0.0,4003774.881362915,0.0,0.4995285847138301,26.974543574546825,4003774.881362915,4003774.881362915,4003774.881362915,0.0,0.0,0.0,0.0,0.0,4003774.881362915,4003774.881362915,4003774.881362915,0.0
30795192.95692444,30795192.95692444,0.0,8934465.885162354,0.0,21860727.071762085,0.0,15397596.47846222,0.0,0.09741780167431736,5.390451692645561,8934465.885162354,21860727.071762085,15397596.47846222,6463130.593299866,0.0,0.0,0.0,0.0,8934465.885162354,15397596.47846222,21860727.071762085,6463130.593299866
1498790.0257110596,1498790.0257110596,0.0,1498790.0257110596,0.0,1498790.0257110596,0.0,1498790.0257110596,0.0,1.3344097343129537,72.05812565289949,1498790.0257110596,1498790.0257110596,1498790.0257110596,0.0,0.0,0.0,0.0,0.0,1498790.0257110596,1498790.0257110596,1498790.0257110596,0.0
107056320.90568542,107056320.90568542,0.0,1609488.0104064941,0.0,53297347.06878662,0.0,17842720.15094757,0.0,0.06538614386129396,3.530851768509874,1609488.0104064941,53297347.06878662,17842720.15094757,18073309.70843067,0.0,0.0,0.0,0.0,1609488.0104064941,17842720.15094757,53297347.06878662,18073309.70843067
389458791.01753235,379468354.9404144,389458578.1097412,0.0,0.0,10917700.052261353,6081355.094909668,44554.22742050187,47454.438663304645,42.946777388951126,22813.71792067218,0.0,6081355.094909668,23286.026368761275,140083.90338929935,0.0,17753.400349598414,996673.8224029541,78311.39643514658,1006726.0265350342,1797237.4420899611,6081355.094909668,1090197.5998826644
387203813.0760193,387203813.0760193,0.0,0.0,0.0,4508811.950683594,0.0,616566.581331241,0.0,1.6244674736106206,533.8170571151364,0.0,4508811.950683594,616566.581331241,624788.2437843694,0.0,347893.4014014184,986376.0471343994,277219.3444798464,1004528.9993286133,1561754.9625232066,4508811.950683594,588179.7488649905
916043.9968109131,916043.9968109131,0.0,916043.9968109131,0.0,916043.9968109131,0.0,916043.9968109131,0.0,2.1833012464059993,462.8598642380719,916043.9968109131,916043.9968109131,916043.9968109131,0.0,916043.9968109131,916043.9968109131,916043.9968109131,0.0,0.0,0.0,0.0,0.0
209200418.9491272,209200418.9491272,0.0,106550.21667480469,0.0,92685958.14704895,0.0,3803643.9808932217,0.0,0.2676858883997643,44.70354336276064,106550.21667480469,92685958.14704895,3803643.9808932217,12129291.042956838,106550.21667480469,705922.1267700195,959467.1726226807,349804.75921303825,1238127.9468536377,4046602.5576871983,92685958.14704895,12563329.8615136
387186177.9689789,387186177.9689789,0.0,0.0,0.0,3593175.8880615234,0.0,655137.3569695074,0.0,1.5289802004435982,486.2157037410642,0.0,3593175.8880615234,655137.3569695074,611331.8169174826,0.0,353617.92839364544,996958.9710235596,273976.42335935717,1008127.9277801514,1510747.6835127,3593175.8880615234,480812.4542816598
387200940.1321411,387200940.1321411,0.0,0.0,0.0,4096637.964248657,0.0,886043.3412634808,0.0,1.1311956005337243,346.09678363452934,0.0,4096637.964248657,886043.3412634808,789627.9895768426,0.0,396881.55711342714,954771.9955444336,280463.04267483915,1009461.1644744873,1732904.6800732613,4096637.964248657,659820.0639902175
7276498.079299927,7276498.079299927,0.0,298555.1357269287,0.0,4008121.967315674,0.0,1819124.5198249817,0.0,0.6871437256643996,286.9512198374533,298555.1357269287,4008121.967315674,1819124.5198249817,1410434.2814121305,298555.1357269287,611095.0708389282,923635.0059509277,312539.9351119995,2046185.9703063965,3027153.968811035,4008121.967315674,980967.9985046387
390956825.0179291,390956825.0179291,0.0,0.0,0.0,3369050.979614258,0.0,608967.0171618833,0.0,1.6446828878623934,557.235444067281,0.0,3369050.979614258,608967.0171618833,574445.2527256198,0.0,348616.2407297484,998164.176940918,263612.12872231775,1004446.0296630859,1501341.747415477,3369050.979614258,440677.55919211137
387273092.9851532,387273092.9851532,0.0,0.0,0.0,4206407.070159912,0.0,665417.6855415003,0.0,1.505397639443932,491.0875644213451,0.0,4206407.070159912,665417.6855415003,680348.8012522848,0.0,325772.0470428467,940751.7910003662,291644.446302224,1003396.0342407227,1617757.4170181174,4206407.070159912,540219.912218984
387185752.86865234,387185752.86865234,0.0,0.0,0.0,3895112.991333008,0.0,604033.935832531,0.0,1.6581188621829017,539.963049908303,0.0,3895112.991333008,604033.935832531,597934.9416737856,0.0,338656.7690090569,994040.0123596191,259107.20826879592,1001390.9339904785,1536591.7262896686,3895112.991333008,510721.4353252836
220881985.90278625,220881985.90278625,0.0,0.0,0.0,3484956.0260772705,0.0,593768.7793085652,0.0,1.6886845637297165,551.9417959853744,0.0,3484956.0260772705,593768.7793085652,570030.9172873775,0.0,330480.18907245836,938632.9650878906,255480.83506004073,1012659.0728759766,1456265.8852544324,3484956.0260772705,452298.9902973465
381337203.0258179,381337203.0258179,0.0,119143.96286010742,0.0,160670490.98014832,0.0,20070379.10662199,0.0,0.052447020225944045,13.072419791316554,119143.96286010742,160670490.98014832,20070379.10662199,36955403.24799266,119143.96286010742,271445.98960876465,509413.0039215088,131427.08494970517,1013571.9776153564,27141426.648412433,160670490.98014832,40785382.220510975
387190141.916275,387190141.916275,0.0,0.0,0.0,3586469.888687134,0.0,655144.0641561337,0.0,1.5289645471604298,506.6270515802991,0.0,3586469.888687134,655144.0641561337,609923.3369382876,0.0,363246.96594409726,941804.8858642578,270389.00312113983,1013921.9760894775,1544830.425144875,3586469.888687134,481442.85591510887
387189525.8426666,387189525.8426666,0.0,0.0,0.0,4209202.05116272,0.0,743166.0764734484,0.0,1.3481769654381437,450.3582570331626,0.0,4209202.05116272,743166.0764734484,685734.747788475,0.0,380460.9400793143,995733.0226898193,278320.2028439641,1010757.9231262207,1623680.5194302609,4209202.05116272,573637.7132683469
387183408.9756012,387183408.9756012,0.0,0.0,0.0,3371045.8278656006,0.0,639972.5768191755,0.0,1.5651497092898106,581.0011348243895,0.0,3371045.8278656006,639972.5768191755,597985.5090889244,0.0,356243.165368846,991447.2103118896,266658.06821131904,1009862.8997802734,1516082.9892029634,3371045.8278656006,475439.9545113624
387187434.9117279,387187434.9117279,0.0,0.0,0.0,3814318.895339966,0.0,592936.3474911606,0.0,1.6891044001701676,559.145211025138,0.0,3814318.895339966,592936.3474911606,579682.9289026167,0.0,345999.52744048776,957969.9039459229,273716.497882825,1011230.9455871582,1514475.929564324,3814318.895339966,483397.5318263746
233158118.00956726,233158118.00956726,0.0,0.0,0.0,229885308.02726746,0.0,16654151.286397662,0.0,0.0643340241723194,7.076742658955134,0.0,229885308.02726746,16654151.286397662,59141466.27589622,0.0,65644.54598860307,720200.0617980957,206988.81261201986,1218728.0654907227,77478676.00123088,229885308.02726746,107767772.92343155
298295372.96295166,298295372.96295166,0.0,0.0,0.0,231046672.82104492,0.0,22945797.92022705,0.0,0.04693334616939835,12.031698528712191,0.0,231046672.82104492,22945797.92022705,61946364.44668967,0.0,137118.44550238716,311219.9306488037,126760.80160344673,2045685.052871704,74265326.73835754,231046672.82104492,93097440.062165
387187139.98794556,387187139.98794556,0.0,0.0,0.0,3371060.1329803467,0.0,645311.8999799093,0.0,1.5522209751561251,453.9148691908303,0.0,3371060.1329803467,645311.8999799093,587028.6175999843,0.0,359821.12480061396,942360.8779907227,264119.4327949908,1005971.9085693359,1486758.3952452007,3371060.1329803467,454324.00553111406
387189164.87693787,387189164.87693787,0.0,0.0,0.0,5929309.129714966,0.0,972837.0976807484,0.0,1.0305040434868988,320.4867575244255,0.0,5929309.129714966,972837.0976807484,1011916.4545232455,0.0,362347.7099878103,993549.108505249,274340.1806196036,1006695.9857940674,1971452.1888076074,5929309.129714966,984360.7873228793
387187814.950943,387187814.950943,0.0,89.16854858398438,0.0,3370306.0150146484,0.0,657364.7112919235,0.0,1.523808284294157,1237.3323268468555,89.16854858398438,3370306.0150146484,657364.7112919235,598564.9844751419,89.16854858398438,368439.90252401825,941631.0787200928,266567.00723152544,1006763.9350891113,1518282.553634128,3370306.0150146484,473501.9865705859
387187692.8806305,387187692.8806305,0.0,0.0,0.0,4209896.087646484,0.0,651831.1327956743,0.0,1.5367223983109344,505.5816690442974,0.0,4209896.087646484,651831.1327956743,608283.8471054047,0.0,364657.4875294233,998894.9298858643,268461.98196527374,1002686.9773864746,1541079.1791718581,4209896.087646484,496444.48455160647
401252.98500061035,401252.98500061035,0.0,401252.98500061035,0.0,401252.98500061035,0.0,401252.98500061035,0.0,4.98438659589525,373.82899469214374,401252.98500061035,401252.98500061035,401252.98500061035,0.0,401252.98500061035,401252.98500061035,401252.98500061035,0.0,0.0,0.0,0.0,0.0
16696831.941604614,16696831.941604614,0.0,7190.942764282227,0.0,1780312.7765655518,0.0,725949.2148523745,0.0,1.4373984288718624,449.9057082368929,7190.942764282227,1780312.7765655518,725949.2148523745,629093.232649161,7190.942764282227,331860.0058555603,726404.9053192139,227022.09694902526,1409771.9192504883,1626724.5497022357,1780312.7765655518,127134.33382692382
387194349.05052185,387194349.05052185,0.0,0.0,0.0,3281200.885772705,0.0,624507.0145976159,0.0,1.6038457212064599,489.3382366365004,0.0,3281200.885772705,624507.0145976159,584165.3087520853,0.0,356260.4798768696,994259.8342895508,269743.8471763295,1004426.9561767578,1503245.6628207504,3281200.885772705,461385.3847907472
387265177.9651642,387265177.9651642,0.0,0.0,0.0,3055954.933166504,0.0,642230.809229128,0.0,1.5596548163034991,483.31223835683096,0.0,3055954.933166504,642230.809229128,585146.2518146994,0.0,348953.53178892814,952991.9624328613,266728.7394093485,1008389.949798584,1489896.7466046733,3055954.933166504,399077.6528382565
387579058.88557434,387579058.88557434,0.0,0.0,0.0,3892123.222351074,0.0,751122.2071425859,0.0,1.3339213978344346,422.8530831135158,0.0,3892123.222351074,751122.2071425859,766549.2527580161,0.0,286734.08943064074,924435.1387023926,282601.1346281311,1008605.0033569336,1648235.6163588436,3892123.222351074,589089.9253346535
387190294.0273285,387190294.0273285,0.0,0.0,0.0,4489753.007888794,0.0,664134.2950726047,0.0,1.508302271540878,503.38296957992264,0.0,4489753.007888794,664134.2950726047,636339.2248374353,0.0,362219.28552750056,997046.947479248,274421.62943188555,1007102.0126342773,1559610.1056961785,4489753.007888794,557084.0612936625
387188313.96102905,387188313.96102905,0.0,0.0,0.0,3370621.919631958,0.0,649644.8220822635,0.0,1.541885378441687,476.4425819384813,0.0,3370621.919631958,649644.8220822635,597358.2693984652,0.0,357124.27867425454,994956.0165405273,267333.6656109505,1001022.1004486084,1504112.7251951317,3370621.919631958,458641.19852142973
387189631.9389343,387189631.9389343,0.0,0.0,0.0,3986166.000366211,0.0,796686.4854710583,0.0,1.2577816135242157,421.35684053061226,0.0,3986166.000366211,796686.4854710583,693885.4312987691,0.0,387058.33532192087,994105.8158874512,273567.996615316,1014993.9060211182,1615942.7857693331,3986166.000366211,536638.3786072101
387186435.93788147,387186435.93788147,0.0,0.0,0.0,3369325.1609802246,0.0,601221.1738165861,0.0,1.665864142264222,534.5331881233681,0.0,3369325.1609802246,601221.1738165861,583358.2652517292,0.0,344300.6467059314,992974.042892456,268028.8947479335,1001641.035079956,1509489.5161373515,3369325.1609802246,480719.87646965194
387189073.0857849,387189073.0857849,0.0,0.0,0.0,3903995.990753174,0.0,642104.5988155637,0.0,1.5599613780066022,546.513356675015,0.0,3903995.990753174,642104.5988155637,606878.8015590946,0.0,349337.5150503311,995399.9519348145,268500.15678785864,1001522.0642089844,1518466.9952518893,3903995.990753174,479987.2403599131
387189073.0857849,387189073.0857849,0.0,0.0,0.0,3906988.8591766357,0.0,612640.9384268748,0.0,1.634860185891025,540.3819852985453,0.0,3906988.8591766357,612640.9384268748,586369.5402607324,0.0,348928.80599679146,996027.946472168,266547.6818563363,1000511.1694335938,1514425.7828905866,3906988.8591766357,474973.94336335117
387193068.98117065,387193068.98117065,0.0,0.0,0.0,4294271.945953369,0.0,701436.7191687875,0.0,1.4282280451329374,462.7458866230718,0.0,4294271.945953369,701436.7191687875,655775.3524515771,0.0,365389.1350156698,936417.1028137207,278091.85736290715,1012892.9615020752,1569923.3327593121,4294271.945953369,543561.3751818163
387188416.0041809,387188416.0041809,0.0,0.0,0.0,4107285.0227355957,0.0,611672.0631977582,0.0,1.637445682241573,524.8168374898019,0.0,4107285.0227355957,611672.0631977582,592143.6820008842,0.0,350086.6894809389,993607.9978942871,266279.4833445148,1006618.9765930176,1516167.9680918304,4107285.0227355957,512983.10577654664
297063008.06999207,297063008.06999207,0.0,116.82510375976562,0.0,40734913.82598877,0.0,7245439.221219319,0.0,0.14138414699585966,67.48399987680949,116.82510375976562,40734913.82598877,7245439.221219319,10276292.153773751,116.82510375976562,147203.29973432753,816325.9029388428,201277.90479969286,1710171.9379425049,12800580.377164094,40734913.82598877,10859298.489483323
387102976.0837555,387102976.0837555,0.0,0.0,0.0,3685956.9549560547,0.0,624359.6388447669,0.0,1.6042242978406795,491.44804290742144,0.0,3685956.9549560547,624359.6388447669,612198.3837949547,0.0,347359.4299348598,993093.0137634277,279062.7056070308,1004225.9693145752,1523661.6869495339,3685956.9549560547,529980.5028534305
388092862.1292114,388092862.1292114,0.0,0.0,0.0,6857226.848602295,0.0,822230.6401042615,0.0,1.2187804676565261,426.45978875256026,0.0,6857226.848602295,822230.6401042615,1145990.136771647,0.0,274537.25758720847,931138.0386352539,272105.7915820947,1003026.9622802734,2232956.0193148525,6857226.848602295,1320043.4224780868
409850.1205444336,409850.1205444336,0.0,409850.1205444336,0.0,409850.1205444336,0.0,409850.1205444336,0.0,4.879832650392429,365.9874487794322,409850.1205444336,409850.1205444336,409850.1205444336,0.0,409850.1205444336,409850.1205444336,409850.1205444336,0.0,0.0,0.0,0.0,0.0
289892294.883728,289892294.883728,0.0,205049.99160766602,0.0,71873028.99360657,0.0,10736751.662360298,0.0,0.09658759647692751,24.76781938229784,205049.99160766602,71873028.99360657,10736751.662360298,17725172.60851199,205049.99160766602,392784.1583887736,820502.9964447021,215964.22751569955,1023016.9296264648,13692170.949209305,71873028.99360657,19095270.78828222
364052525.99716187,364052525.99716187,0.0,96156.12030029297,0.0,68712687.01553345,0.0,28004040.461320143,0.0,0.038455989178081254,3.153391112602663,96156.12030029297,68712687.01553345,28004040.461320143,18624755.536537934,96156.12030029297,96156.12030029297,96156.12030029297,0.0,3068639.9936676025,30329697.489738464,68712687.01553345,17477856.391702443
183714057.92236328,183714057.92236328,0.0,0.0,0.0,180019982.09953308,0.0,7348562.316894531,0.0,0.141524281233761,24.048241326567542,0.0,180019982.09953308,7348562.316894531,35251175.43499204,0.0,31011.384466420048,206145.0481414795,54019.122740333914,2980813.980102539,91500398.03981781,180019982.09953308,88519584.05971527
96074567.07954407,96074567.07954407,0.0,195497.0359802246,0.0,18634138.822555542,0.0,4367025.776342913,0.0,0.23939738371089778,75.0146497567148,195497.0359802246,18634138.822555542,4367025.776342913,5061237.911685153,195497.0359802246,334219.42165919713,815274.0001678467,209890.949360099,1241534.948348999,6249002.0751953125,18634138.822555542,5139871.927031536
2048267.8413391113,2048267.8413391113,0.0,0.0,0.0,2048110.9619140625,0.0,682755.9471130371,0.0,1.9528695999957164,160.13530719964876,0.0,2048110.9619140625,682755.9471130371,965451.791817185,0.0,78.43971252441406,156.87942504882812,78.43971252441406,2048110.9619140625,2048110.9619140625,2048110.9619140625,0.0
250572362.89978027,250572362.89978027,0.0,0.0,0.0,28568171.02432251,0.0,16704824.193318686,0.0,0.06385380979305931,7.534749555580998,0.0,28568171.02432251,16704824.193318686,8313311.987911676,0.0,193.47667694091797,386.95335388183594,193.47667694091797,1941300.1537322998,19274767.380494338,28568171.02432251,5496278.912435592
923498.1536865234,923498.1536865234,0.0,923498.1536865234,0.0,923498.1536865234,0.0,923498.1536865234,0.0,2.1656783957999006,459.1238199095789,923498.1536865234,923498.1536865234,923498.1536865234,0.0,923498.1536865234,923498.1536865234,923498.1536865234,0.0,0.0,0.0,0.0,0.0
386784075.0217438,386784075.0217438,0.0,0.0,0.0,3999341.0110473633,0.0,629941.4902634263,0.0,1.5900344396687651,536.7775288792033,0.0,3999341.0110473633,629941.4902634263,636621.7064408123,0.0,339649.5961128397,935607.91015625,273416.16737210687,1006321.907043457,1577421.9781160355,3999341.0110473633,557976.5326556168
386798658.1325531,386798658.1325531,0.0,0.0,0.0,3905142.068862915,0.0,678594.1370746546,0.0,1.4762202194722258,467.9618095726956,0.0,3905142.068862915,678594.1370746546,635232.8618101847,0.0,371407.0482433122,993033.1707000732,275932.4789289096,1007875.919342041,1587355.9415340424,3905142.068862915,516737.96717669413
389425004.0054321,389425004.0054321,0.0,0.0,0.0,5727850.914001465,0.0,769614.6324218026,0.0,1.3019194833029464,454.4495042170722,0.0,5727850.914001465,769614.6324218026,795390.8986955353,0.0,353896.6486100055,942190.8855438232,290058.7591750435,1007246.0174560547,1765663.761420538,5727850.914001465,735308.6006500492
169777528.04756165,169777528.04756165,0.0,128010.03456115723,0.0,64415206.90917969,0.0,6791101.121902466,0.0,0.15314158651618684,35.9764927092642,128010.03456115723,64415206.90917969,6791101.121902466,16363812.283197928,128010.03456115723,421503.65511576337,691900.9685516357,166322.6500636268,1016658.0677032471,16345497.32208252,64415206.90917969,22743136.144342624
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,330000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386678924.0837097,386678924.0837097,0.0,0.0,0.0,3050536.1557006836,0.0,433011.1131956436,0.0,2.311995674753826,1026.3424647216748,0.0,3050536.1557006836,433011.1131956436,522065.8466121152,0.0,251361.18517147275,999388.9331817627,255843.43127095257,1012861.967086792,1489631.3052141028,3050536.1557006836,410866.6974159009
48837167.02461243,48837167.02461243,0.0,903654.0985107422,0.0,24432507.99179077,0.0,8139527.837435405,0.0,0.14333345741517348,7.740006700419368,903654.0985107422,24432507.99179077,8139527.837435405,8207664.0611830335,903654.0985107422,903654.0985107422,903654.0985107422,0.0,1458518.9819335938,9586702.585220337,24432507.99179077,8262748.374828099
